,Unnamed: 0,author,statement,source,target,BinaryTarget,BinaryNumTarget
74,74,Bill McCarthy,"""I’ve released 22 years of my tax returns. You can go online and look. (Donald Trump) hasn’t released one.”",Joe Biden,True,REAL,1
75,75,Lyle Muller,"Farm bankruptcies are ""at an eight-year high.""",Theresa Greenfield,True,REAL,1
76,76,Paul Specht,"Says Dan Forest has “missed almost half of the Board of Education meetings during the pandemic.""",Roy Cooper,True,REAL,1
77,77,Eric Litke,My 2018 election was the first time Speaker Robin Vos has lost a Republican-held seat,Robyn Vining,True,REAL,1
78,78,Monique Curet,Joe Biden “wants to get rid of something called ‘stepped up basis’” that reduces inheritance taxes.,Facebook posts,True,REAL,1
79,79,Jill Terreri,"“While serving as Town Supervisor, Nate McMurray voted to raise taxes on homeowners.”",Chris Jacobs,True,REAL,1
80,80,Paul Specht,"Georgia has “almost 100,000 more (COVID-19) cases, almost twice as many deaths and almost 600 more nursing home deaths than North Carolina.”",Roy Cooper,True,REAL,1
81,81,Melissa Stone,“West Virginia has one of the greatest percentages of veterans in any state.”,Jim Justice,True,REAL,1
82,82,Eric Litke,“Wisconsin Republicans have not passed a single bill in 6 months.”,Facebook posts,True,REAL,1
83,83,Amy Sherman,The president's own FBI director said that the greatest domestic terrorist threat is white supremacists.,Joe Biden,True,REAL,1
84,84,Kit Norton,"“That 5% (wealth tax) starts at $159,000 per family.”",Phil Scott,True,REAL,1
85,85,Madlin Mekelburg,“In the last 10 years less than half of adults in the U.S. received a flu shot.”,Michael Burgess,True,REAL,1
86,86,Eric Litke,“(Republicans) have the power to overturn the (state of emergency) order by joint resolution and they refuse to do it.”,Chris Larson,True,REAL,1
87,87,Paul Schloesser,"“Over three months after receiving CARES Act relief funds from the state, the county has still not made those dollars available to help struggling Mid-Missourians.”",Caleb Rowden,True,REAL,1
88,88,Jon Greenberg,“Iran has stockpiled 10 times as much enriched uranium as it had” in 2016.,Joe Biden,True,REAL,1
89,89,Warren Fiske,Abigail Spanberger “has voted with Nancy Pelosi over 90% of the time…”,Nick Freitas,True,REAL,1
90,90,Warren Fiske,Nick Freitas “supports a plan letting insurance companies deny coverage for preexisting conditions like asthma or diabetes.”,Democratic Congressional Campaign Committee,True,REAL,1
91,91,Eric Litke,“Video showed police thank (Kyle Rittenhouse) & give him water prior to the killings”,Facebook posts,True,REAL,1
92,92,Madeline Heim,"Police are ""20.8 times more likely to kill than be killed by a criminal.""",Chris Larson,True,REAL,1
93,93,Louis Jacobson,"“In one of the states that determined the outcome” of the 2016 presidential race, “the winning margin averaged out to just two votes per precinct, two votes.”",Michelle Obama,True,REAL,1
94,94,Paul Specht,"Cal Cunningham ""voted for over $1 billion in new taxes.”",National Republican Senatorial Committee,True,REAL,1
95,95,Jessica Calefati,Says the U.S. Senate is “dominated by millionaires” and that he is “not one of them.”,Cory Booker,True,REAL,1
96,96,Haley BeMiller,"""The GOP lawyer who helped Kanye West get on the ballot in Wisconsin is actively working for Donald Trump's campaign.""",Instagram posts,True,REAL,1
97,97,Madlin Mekelburg,"Says 1 in 5 Texans did not have health insurance coverage before the pandemic, and now “nearly 1 in 3 Texans under the age of 65 don’t have access to health care insurance.”",M.J. Hegar,True,REAL,1
98,98,Stephanie Stapleton,"On home health workers’ low pay and limited benefits, “40% are still on SNAP or Medicaid.”",Joe Biden,True,REAL,1
99,99,Jessica Calefati,“Murders this year have spiked 27% in Philadelphia.”,Donald Trump,True,REAL,1
100,100,Madeline Heim,"“Taxpayers spent $70,000,000 to develop this drug ( remdesivir).""",Public Citizen,True,REAL,1
101,101,Madeline Heim,"""The average family in America forks over more of their hard-earned income to their local hospital than to the IRS.”",Mike Gallagher,True,REAL,1
102,102,Bill McCarthy,"“Homicides are intraracial. When you look at white-on-white crime, it's 84%. Right? Homicides. White people kill white people.”",Sunny Hostin,True,REAL,1
103,103,Bill McCarthy,"""Higher education is one of America's strongest export sectors. Over 1 million international students studied at American universities, (in the) 2018-19 school year. They contributed over $40 billion to the economy.”",Chris Hayes,True,REAL,1
104,104,Lyle Muller,Former U.S. Vice President Richard Mentor Johnson was a slave owner married to one of his slaves and father of two children with her.,Ron McMullen,True,REAL,1
105,105,Taylor Goldenstein,The United States has not completed a “top-to-bottom review of our criminal justice system at the national level since 1965.”,John Cornyn,True,REAL,1
106,106,Paul Specht,"""North Carolina is one of four states"" that hasn't opened gyms.",Dan Forest,True,REAL,1
107,107,Eric Litke,"Says President Trump said coronavirus testing makes the U.S. look bad, ""so I said to my people, ‘Slow the testing down.’""",Priorities USA Action,True,REAL,1
108,108,Eric Litke,"Says a 1942 Milwaukee YMCA brochure shows children playing a violent, racist carnival game",Facebook posts,True,REAL,1
109,109,Lawrence Andrea,"""Our health department, our city and our county declared racism as a public health crisis last year.”",Jeanette Kowalik,True,REAL,1
110,110,John Pullano,Significantly more people died of Covid-19 in two months than died of overdoses all of last year or the year before.,Monica Wallace,True,REAL,1
111,111,Jon Greenberg,"In COVID-19 crisis, “only 20% of African Americans had jobs where they could work from home.”",Desiree Rogers,True,REAL,1
112,112,Michael Hogan,"“Infection rates in Allegany, Cattaraugus and Chautauqua counties have consistently been among the lowest in the state.”",George Borrello,True,REAL,1
113,113,D.L. Davis,"“Since the week ending March 14, Wisconsin actually saw a drop in tourism spending compared to last year of $1.7 billion.”",Sara Meaney,True,REAL,1
114,114,Madeline Heim,"""If Roe is overturned, Wisconsin has a law on the books that would immediately make abortion a crime.”",Planned Parenthood,True,REAL,1
115,115,Miriam Valverde,"“Today, the gap between African American and white homeownership is larger than it was in the late 1960s.”",Joe Biden,True,REAL,1
116,116,Haley BeMiller,“Research illustrates a clear correlation between vitamin D deficiencies and (higher) COVID-19 mortality rates.”,Glenn Grothman,True,REAL,1
117,117,Paul Specht,“Two-thirds of Americans disapprove of Donald Trump not wearing a face mask in public.”,Darren Jackson,True,REAL,1
118,118,Eric Litke,Says gloves shouldn’t be worn in public because “if you are wearing the same set of gloves all over town you are only spreading germs everywhere you go.”,Facebook posts,True,REAL,1
119,119,Michael Hogan,“New York is one of only 12 states where the average gallon of gas costs more than $2.00.”,American Automobile Association,True,REAL,1
120,120,Haley BeMiller,Says it’s illegal to hold an absentee-only election or mail ballots to every registered voter,Chris Kapenga,True,REAL,1
121,121,Jaren Holmes,“Small trials” to test convalescent plasma therapy for coronavirus patients “seem to have had some degree of success.”,Jamie Nadler,True,REAL,1
122,122,Madlin Mekelburg,Says Texas “either is near the bottom or at the very bottom when it comes to testing per capita.”,Veronica Escobar,True,REAL,1
123,123,Paul Specht,"North Carolina is ""in the small minority of states that requires an absentee ballot to be signed by two witnesses or a notary public.""",Jay Chaudhuri,True,REAL,1
124,124,Warren Fiske,Virginia has “lagged behind other states when it comes to (covid-19) testing.”,Levar Stoney,True,REAL,1
125,125,Victoria Knight,"“Until this week, they [OSHA] weren’t even enforcing these guidelines [for coronavirus]. Still today, OSHA is not specifying which rules employees must follow or how to keep their workers safe and healthy.”",Joe Biden,True,REAL,1
126,126,Jessica Calefati,"“The poor are, ironically, the most likely to be employed in the industries deemed ‘essential’ while their upper-class peers are freed to bunker down for weeks until the first death wave passes.”",Facebook posts,True,REAL,1
127,127,Jill Terreri,"“Go look at other countries that went through exactly this, started to reopen, and then they saw the infection rate go back up again.”",Andrew Cuomo,True,REAL,1
128,128,Tom Kertscher,“Africans living in China now being forced to sleep outside in the cold” as “Chinese nationals blame them for the rising number of new coronavirus cases in the country.”,Facebook posts,True,REAL,1
129,129,Shefali Luthra,"Republicans “have shown themselves willing to cut millions off their health insurance and eliminate preexisting condition protections for millions more, even in the middle of this public health crisis.""",Barack Obama,True,REAL,1
130,130,Caleb McCullough,"Before COVID-19, “Iowa had one of the lowest unemployment rates in the country, and many employers were scrambling to find qualified employees to fill their job openings.”",Jack Whitver,True,REAL,1
131,131,Miriam Valverde,"Says of the coronavirus threat, “there was not a single suggestion by anyone, a doctor, a scientist, a political figure, that we needed to cancel Mardi Gras.”",John Bel Edwards,True,REAL,1
132,132,Samantha Putterman,Photo shows a crowded New York City subway train during stay-at-home order.,Viral image,True,REAL,1
133,133,Bill McCarthy,"“On February 7, the WHO warned about the limited stock of PPE. That same day, the Trump administration announced it was sending 18 tons of masks, gowns and respirators to China.”",Facebook posts,True,REAL,1
134,134,Jessica Calefati,“My mask will keep someone else safe and their mask will keep me safe.”,Pat Toomey,True,REAL,1
135,135,Madlin Mekelburg,Says longstanding Food and Drug Administration regulations “created barriers to the private industry creating a test quickly” for the coronavirus.,Dan Crenshaw,True,REAL,1
136,136,Jill Terreri,“No city in the state can quarantine itself without state approval.”,Andrew Cuomo,True,REAL,1
137,137,Paul Specht,"Says ""most"" NC legislators are in the ""high risk age group"" for coronavirus",Kelly Alexander,True,REAL,1
138,138,Ciara O'Rourke,Says Spectrum will provide free internet to students during coronavirus school closures.,Viral image,True,REAL,1
139,139,Bill McCarthy,"“Some states are only getting 50 tests per day, and the Utah Jazz got 58.”",Michael Dougherty,True,REAL,1
140,140,Ciara O'Rourke,“Whole of Italy goes into quarantine.”,Bloggers,True,REAL,1
141,141,Nusaiba Mizan,“The average (Wisconsin) resident’s tax burden is at its lowest level in nearly 50 years while incomes continue to grow.”,Roger Roth,True,REAL,1
142,142,Louis Jacobson,"“You’ve raised a lot more money than I have, Bernie.”",Joe Biden,True,REAL,1
143,143,Jill Terreri,"During his tenure as mayor of New York City, “street homelessness decreased by 28 percent.”",Michael Bloomberg,True,REAL,1
144,144,Kit Norton,"""@BernieSanders receives strong support from the conservative & most rural part of Vermont.""",Jane O’Meara Sanders,True,REAL,1
145,145,Bill McCarthy,"“The majority of hunters now want universal background checks, the majority of Trump voters.”",Amy Klobuchar,True,REAL,1
146,146,Victoria Knight,"“From the moment we passed that signature legislation, Mike (Bloomberg) called it a disgrace.”",Joe Biden,True,REAL,1
147,147,D.L. Davis,"Says since he took office, the City of Milwaukee has seen the creation of 7,000 new affordable housing units.",Tom Barrett,True,REAL,1
148,148,Warren Fiske,“Over 50% of the people now in the House and state Senate have not been born in Virginia.”,Denver Riggleman,True,REAL,1
149,149,Brooklyn Draisey,National polls have “never predicted who will be president from our party. Carter was in the single digits a few months before caucuses. Bill Clinton was. Obama — 20 points behind in the national polls roughly.”,Cory Booker,True,REAL,1
150,150,Louis Jacobson,"“Traditionally, the Speaker says: ‘Members of Congress, I have the high privilege and distinct honor of presenting to you the President of the United States.’ (Tonight) Speaker Pelosi said, ‘Members of Congress, the President of the United States.’ """,Jake Tapper,True,REAL,1
151,151,Madlin Mekelburg,"Says ""10% of U.S. children are Texans.""",James White,True,REAL,1
152,152,Victoria Knight,"""The president of the United States already has the legal authority to reduce the price of many commonly used prescription drugs.""",Elizabeth Warren,True,REAL,1
153,153,Amy Sherman,"""More than 80% of Republicans think we ought to at least be doing universal background checks.""",Pete Buttigieg,True,REAL,1
154,154,Jill Terreri,"""The American people are overwhelmingly with us"" in calling witnesses in Senate trial",Charles Schumer,True,REAL,1
155,155,Jill Terreri,"""Mayor Bloomberg helped lower the number of uninsured by 40 percent, covering 700,000 more New Yorkers""",Michael Bloomberg,True,REAL,1
156,156,Tom Kertscher,"""Twitter is banned in Iran.""",Facebook posts,True,REAL,1
157,157,Eric Litke,"Witnesses have been part of ""every other impeachment trial the Senate has ever had.""",Tammy Baldwin,True,REAL,1
158,158,Jill Terreri,"""We have the lowest corporate tax rate since 1968.""",Andrew Cuomo,True,REAL,1
159,159,Amy Sherman,"Florida is ""the 45th in state education funding.""",Facebook posts,True,REAL,1
160,160,Tom Kertscher,"In 1988, in response to Iran’s attack on the U.S.S. Samuel Roberts, President Ronald Reagan ""destroyed half of Iran’s Navy.""",Facebook posts,True,REAL,1
161,161,Shefali Luthra,"""We end the $100 billion a year that the health care industry makes.""",Bernie Sanders,True,REAL,1
162,162,Louis Jacobson,"""Look at the men on this stage. Collectively, they have lost 10 elections. The only people on this stage who have won every single election that they’ve been in are the women, Amy and me.""",Elizabeth Warren,True,REAL,1
163,163,Ciara O'Rourke,"A man at ""the storming of the U.S. embassy"" in Iraq visited the White House in 2011.",Viral image,True,REAL,1
164,164,Mica Soellner,"The United States is the only nation ""that grants legal permanent residency to more than a million people per year.""",Ron Johnson,True,REAL,1
165,165,Shefali Luthra,"""Last year, 36 million Americans didn’t have a prescription filled because they couldn’t afford it.""",Elizabeth Warren,True,REAL,1
166,166,Victoria Knight,"""If you're a black woman, you're 320% more likely to die from complications in childbirth.""",Andrew Yang,True,REAL,1
167,167,Aaron Sharockman,"Says Pete Buttigieg ran statewide in Indiana and ""lost by 20 points.""",Amy Klobuchar,True,REAL,1
168,168,Jon Greenberg,"Real wages ""went up last year 1.1%.""",Bernie Sanders,True,REAL,1
169,169,Chris Nichols,"California firefighters decided ""to speak out"" against President Trump because his tweet about the state’s wildfires ""contained so much misinformation.""",Joe Biden,True,REAL,1
170,170,Darby Coughlin,"Says a new annual report shows that ""West Virginia’s tourism industry has grown for the second consecutive year, reversing years of decline and outpacing national growth by 58 percent.""",Jim Justice,True,REAL,1
171,171,D.L. Davis,"A ""study showed as many as one in four people have had a package stolen from their residence.""",Rob Hutton,True,REAL,1
172,172,Paul Specht,Says the cartels are so bad in a Mexican border state that the U.S. government issued a ‘Do Not Travel’ warning -- the same warning it issued for Syria.,Mark Walker,True,REAL,1
173,173,Mica Soellner,"""I am the only member of Congress that voted for both inquiries -- the Clinton inquiry and now the Trump inquiry.""",Ron Kind,True,REAL,1
174,174,Shefali Luthra,"""If we make no changes over the next 10 years, Americans will reach into their pockets and pay out about $11 trillion on insurance premiums, copays, deductibles and uncovered medical expenses.""",Elizabeth Warren,True,REAL,1
175,175,Caroline Cassedy,"""On average, one person dies by suicide every 22 hours in West Virginia.""",Shelley Moore Capito,True,REAL,1
176,176,Chris Nichols,"""90,000 Californians are unsheltered and homeless.""",Darrell Steinberg,True,REAL,1
177,177,Tom Kertscher,"The impeachment inquiry hearings ""going on behind closed doors over which Congressman Schiff is presiding—they are consistent with the rules"" of the U.S. House of Representatives.",Andrew Napolitano,True,REAL,1
178,178,Bill McCarthy,"""President Trump has sent 14,000 American troops to the (Middle East) region since May. So he can't tell his political rallies that he's getting troops out of endless wars when he's sending 14 times the amount back into the region.""",Brett McGurk,True,REAL,1
179,179,Louis Jacobson,"Americans ""say that what they want is a choice"" to join a single-payer system like Medicare rather than ending private insurance.",Pete Buttigieg,True,REAL,1
180,180,Alayna Degenhardt,"""West Virginia Department of Education reported over 10,000 children and youth have been identified as homeless for the 2018-2019 school year.""",Joe Manchin,True,REAL,1
181,181,D.L. Davis,"Millionaires are eligible for food stamps, but ""Donald Trump came along and decided to put a stop to it.""",Glenn Grothman,True,REAL,1
182,182,Matthew Digby,"""About 95 percent of America’s production of ethylene is produced on the Gulf Coast in Texas and Louisiana.""",David McKinley,True,REAL,1
183,183,Greta Serrin,"""Meth production in MO has cratered over last decade. MO Hwy Patrol reported 1,326 meth lab seizures in 2006, only 50 in 2018.""",Josh Hawley,True,REAL,1
184,184,Amy Sherman,"Minneapolis ""city government preemptively informed the Target Center that it would be responsible for $530,000 in security and other costs"" related to a Trump rally, ""more than 26 times the estimated security costs for a 2009 Target Center health care rally held by President Barack Obama.""",Donald Trump,True,REAL,1
185,185,Victoria Gennuso,"Says in the 2016 presidential election, ""I won that one by 42 points -- 42 points -- West Virginia.""",Donald Trump,True,REAL,1
186,186,D.L. Davis,"""More than half of death row prisoners are people of color.""",Gwen Moore,True,REAL,1
187,187,Greta Serrin,"""U.S. agricultural & food exports are expected to increase more than $2 billion annually under #USMCA""",Roy Blunt,True,REAL,1
188,188,Eric Litke,"Says people convicted of felonies or under restraining orders ""can buy a firearm without going through a background check.""",Josh Kaul,True,REAL,1
189,189,John Kruzel,"""One unnamed donor gave $17 million to the Leo-affiliated Judicial Crisis Network to block the nomination of Judge Merrick Garland and to support Gorsuch; then a donor — perhaps the same one — gave another $17 million to prop up Kavanaugh.""",Sheldon Whitehouse,True,REAL,1
190,190,Tom Kertscher,"Thirty-four of the 47 men depicted in the famous ""Declaration of Independence"" painting were slaveholders.",Arlen Parsa,True,REAL,1
191,191,Madlin Mekelburg,"""There are 390 million guns out on the streets of a country of 329 million people.""",Beto O'Rourke,True,REAL,1
192,192,Bill McCarthy,"""America has more governors who’ve worn blackface than black governors.""",Samuel Sinyangwe,True,REAL,1
193,193,Bill McCarthy,"""The last time people (created a Hollywood blacklist), people ended up killing themselves … They were accused, and they lost their right to work.""",Whoopi Goldberg,True,REAL,1
194,194,Amy Sherman,"Florida’s red flag gun law has been used ""about five times a day.""",Dave Aronberg,True,REAL,1
195,195,Mica Soellner,"""The law says that mental health must be treated the same as physical health,"" but coverage by health insurers is unequal.",Elizabeth Warren,True,REAL,1
196,196,Bill McCarthy,"""If you go back, you can see Wayne LaPierre, who runs the NRA, testifying in front of Congress in favor of background checks 15 or 20 years ago.""",Michael Bloomberg,True,REAL,1
197,197,D.L. Davis,"""More Americans are uninsured today than when (President Donald) Trump took office.""",Tammy Baldwin,True,REAL,1
198,198,Madlin Mekelburg,"Says of El Paso that some years, ""in a city of almost 700,000, we had five murders the entire year. Our average over the last 10 years is 18 (murders per year). We exceeded that average just on one day"" after a gunman opened fire at a Walmart in the city.",Beto O'Rourke,True,REAL,1
199,199,Warren Fiske,"""Studies show at the minimum wage, you can’t rent a two-bedroom apartment anywhere in the United States...a modest, two-bedroom apartment.""",Bobby Scott,True,REAL,1
200,200,Madlin Mekelburg,"Since 2014, there has been a 25% reduction in crime in communities at the Texas-Mexico border.",Steve McCraw,True,REAL,1
201,201,Daniel Funke,"Rep. Ilhan Omar ""voted yes"" to ""provide further funding for the 9/11 First Responders Victims Fund"" while Sen. Rand Paul ""voted no.""",Facebook posts,True,REAL,1
